Date,CPI
2020-01-31,92.9
2020-02-29,92.83
2020-03-31,92.03
2020-04-30,90.16
2020-05-31,90.17
2020-06-30,91.58
2020-07-31,92.19
2020-08-31,92.46
2020-09-30,92.36
2020-10-31,92.4
2020-11-30,92.36
2020-12-31,92.5
2021-01-31,92.59
2021-02-28,91.74
2021-03-31,91.95
2021-04-30,93.22
2021-05-31,92.37
2021-06-30,92.72
2021-07-31,92.61
2021-08-31,92.44
2021-09-30,93.91
2021-10-31,94.6
2021-11-30,94.87
2021-12-31,94.51
2022-01-31,95.58
2022-02-28,96.58
2022-03-31,97.23
2022-04-30,97.56
2022-05-31,98.92
2022-06-30,99.81
2022-07-31,99.66
2022-08-31,99.7
2022-09-30,99.92
2022-10-31,100.26
2022-11-30,100.13
2022-12-31,100.08
2023-01-31,100.37
2023-02-28,100.25
2023-03-31,99.99
2023-04-30,100.17
2023-05-31,99.45
2023-06-30,100.05
2023-07-31,100.04
2023-08-31,100.58
2023-09-30,100.22
2023-10-31,99.94
2023-11-30,99.7
2023-12-31,99.24
2024-01-31,99.26
2024-02-29,99.48
2024-03-31,99.51
2024-04-30,100.36
2024-05-31,100.98
2024-06-30,100.67
2024-07-31,100.86
2024-08-31,100.94
2024-09-30,100.84
2024-10-31,100.77
2024-11-30,100.64
2024-12-31,100.47
