ปี,เดือน,CPI
2020,1,92.9
2020,2,92.83
2020,3,92.03
2020,4,90.16
2020,5,90.17
2020,6,91.58
2020,7,92.19
2020,8,92.46
2020,9,92.36
2020,10,92.4
2020,11,92.36
2020,12,92.5
2021,1,92.59
2021,2,91.74
2021,3,91.95
2021,4,93.22
2021,5,92.37
2021,6,92.72
2021,7,92.61
2021,8,92.44
2021,9,93.91
2021,10,94.6
2021,11,94.87
2021,12,94.51
2022,1,95.58
2022,2,96.58
2022,3,97.23
2022,4,97.56
2022,5,98.92
2022,6,99.81
2022,7,99.66
2022,8,99.7
2022,9,99.92
2022,10,100.26
2022,11,100.13
2022,12,100.08
2023,1,100.37
2023,2,100.25
2023,3,99.99
2023,4,100.17
2023,5,99.45
2023,6,100.05
2023,7,100.04
2023,8,100.58
2023,9,100.22
2023,10,99.94
2023,11,99.7
2023,12,99.24
2024,1,99.26
2024,2,99.48
2024,3,99.51
2024,4,100.36
2024,5,100.98
2024,6,100.67
2024,7,100.86
2024,8,100.94
2024,9,100.84
2024,10,100.77
2024,11,100.64
2024,12,100.47
